start,end,duration_hours
2017-01-09 13:55:00,2017-01-09 15:40:00,1.83
2017-01-10 23:05:00,2017-01-11 01:35:00,2.58
2017-01-20 10:25:00,2017-01-20 10:30:00,0.17
2017-02-23 09:20:00,2017-02-23 09:30:00,0.25
2017-02-23 09:35:00,2017-02-23 10:00:00,0.5
2017-02-23 10:05:00,2017-02-23 10:40:00,0.67
2017-04-07 08:45:00,2017-04-07 09:10:00,0.5
2017-05-20 13:10:00,2017-05-20 15:25:00,2.33
2017-06-23 09:40:00,2017-06-23 10:35:00,1.0
2017-08-05 14:15:00,2017-08-05 16:10:00,2.0
2017-08-29 11:00:00,2017-08-29 11:10:00,0.25
2017-09-17 16:20:00,2017-09-17 18:15:00,2.0
2017-09-21 11:45:00,2017-09-21 11:55:00,0.25
2017-09-22 12:05:00,2017-09-22 12:30:00,0.5
2017-10-03 10:00:00,2017-10-03 11:20:00,1.42
2017-10-09 16:05:00,2017-10-09 17:05:00,1.08
2017-10-19 03:45:00,2017-10-19 03:50:00,0.17
2017-10-19 17:45:00,2017-10-19 17:50:00,0.17
2017-10-20 11:35:00,2017-10-20 11:40:00,0.17
2017-10-20 11:45:00,2017-10-20 11:50:00,0.17
2017-10-20 13:55:00,2017-10-20 14:00:00,0.17
2017-10-20 14:05:00,2017-10-20 14:10:00,0.17
2017-10-20 14:20:00,2017-10-20 14:30:00,0.25
2017-10-21 11:05:00,2017-10-21 11:10:00,0.17
2017-11-30 10:25:00,2017-11-30 10:30:00,0.17
2017-12-11 09:30:00,2017-12-11 09:35:00,0.17
2017-12-17 18:40:00,2017-12-17 18:45:00,0.17
2017-12-18 11:55:00,2017-12-18 12:00:00,0.17
2018-05-07 18:15:00,2018-05-07 18:20:00,0.17
2018-05-07 18:45:00,2018-05-07 18:50:00,0.17
2018-05-07 19:10:00,2018-05-07 19:15:00,0.17
2018-05-07 21:15:00,2018-05-07 21:20:00,0.17
2018-05-08 18:05:00,2018-05-08 18:10:00,0.17
2018-05-08 18:25:00,2018-05-08 18:30:00,0.17
2018-05-08 19:05:00,2018-05-08 19:10:00,0.17
2018-05-08 21:05:00,2018-05-08 21:10:00,0.17
2018-05-09 11:00:00,2018-05-09 11:05:00,0.17
2018-05-09 15:35:00,2018-05-09 15:40:00,0.17
2018-06-14 11:45:00,2018-06-14 13:30:00,1.83
2018-06-14 17:45:00,2018-06-14 18:45:00,1.08
2018-06-18 19:00:00,2018-06-18 20:00:00,1.08
2018-06-19 04:15:00,2018-06-19 05:10:00,1.0
2018-06-19 05:15:00,2018-06-19 06:15:00,1.08
2018-06-19 08:50:00,2018-06-19 10:55:00,2.17
2018-10-15 13:10:00,2018-10-15 13:15:00,0.17
2018-10-16 14:40:00,2018-10-16 14:50:00,0.25
2018-10-23 11:45:00,2018-10-23 11:50:00,0.17
2018-11-26 09:45:00,2018-11-26 14:45:00,5.08
2018-12-10 15:15:00,2018-12-10 15:20:00,0.17
2019-02-06 14:35:00,2019-02-06 14:40:00,0.17
2019-03-13 12:00:00,2019-03-13 12:10:00,0.25
2019-03-13 14:55:00,2019-03-13 15:45:00,0.92
2019-03-16 12:10:00,2019-03-16 12:15:00,0.17
2019-04-20 11:35:00,2019-04-20 12:55:00,1.42
2019-06-02 16:55:00,2019-06-02 17:10:00,0.33
2019-06-02 17:40:00,2019-06-02 17:45:00,0.17
2019-06-26 17:45:00,2019-06-26 18:00:00,0.33
2019-10-19 12:50:00,2019-10-19 12:55:00,0.17
2019-10-19 14:55:00,2019-10-19 15:15:00,0.42
2019-11-14 15:40:00,2019-11-14 17:00:00,1.42
2019-11-23 10:45:00,2019-11-23 10:50:00,0.17
2019-12-07 12:40:00,2019-12-07 12:45:00,0.17
2019-12-11 09:20:00,2019-12-11 09:25:00,0.17
2019-12-26 10:05:00,2019-12-26 10:10:00,0.17
2019-12-27 10:05:00,2019-12-27 11:05:00,1.08
2020-01-29 19:25:00,2020-01-29 21:20:00,2.0
